date,food,not_food
5/22/2020,1,0
5/21/2020,1,1
5/19/2020,1,0
5/18/2020,2,0
5/17/2020,2,1
5/15/2020,1,0
5/13/2020,1,1
5/12/2020,0,1
5/11/2020,1,0
5/10/2020,1,1
5/8/2020,2,0
5/5/2020,4,1
5/4/2020,1,0
5/1/2020,1,0
4/30/2020,2,0
4/29/2020,2,0
4/26/2020,1,0
4/23/2020,2,1
4/22/2020,0,1
4/19/2020,0,1
4/18/2020,3,1
4/17/2020,1,0
4/14/2020,1,0
4/12/2020,0,1
4/11/2020,2,1
4/5/2020,1,1
4/4/2020,0,1
4/2/2020,3,0
4/1/2020,1,0
3/31/2020,4,0
3/30/2020,2,0
3/27/2020,0,2
3/26/2020,1,1
3/25/2020,1,0
3/24/2020,2,7
3/22/2020,4,1
3/20/2020,0,1
3/19/2020,3,2
3/18/2020,0,1
3/17/2020,1,0
3/16/2020,1,2
