date,food,not_food
3/15/2020,0,0
3/16/2020,1,2
3/17/2020,1,0
3/18/2020,0,1
3/19/2020,3,2
3/20/2020,0,1
3/22/2020,4,1
3/24/2020,2,7
3/25/2020,1,0
3/26/2020,1,1
3/27/2020,0,2
3/30/2020,2,0
3/31/2020,4,0
4/1/2020,1,0
4/2/2020,3,0
4/4/2020,0,1
4/5/2020,1,1
4/11/2020,2,1
4/12/2020,0,1
4/14/2020,1,0
4/17/2020,1,0
4/18/2020,3,1
4/19/2020,0,1
4/22/2020,0,1
4/23/2020,2,1
4/26/2020,1,0
4/29/2020,2,0
4/30/2020,2,0
5/1/2020,1,0
5/4/2020,1,0
5/5/2020,4,1
5/8/2020,2,0
5/10/2020,1,1
5/11/2020,1,0
5/12/2020,0,1
5/13/2020,1,1
5/15/2020,1,0
5/17/2020,2,1
5/18/2020,2,0
5/19/2020,1,0
5/21/2020,1,1
5/22/2020,1,0
5/23/2020,0,1
5/24/2020,0,0
5/25/2020,0,1
5/26/2020,2,0
5/27/2020,0,0
5/28/2020,2,2
5/29/2020,0,0
5/30/2020,0,2
5/31/2020,1,1
6/1/2020,0,0
6/2/2020,0,5
6/3/2020,0,1
6/4/2020,0,0
6/5/2020,0,0
6/6/2020,0,0
6/7/2020,0,0
6/8/2020,0,2
6/9/2020,0,0
6/10/2020,2,0
6/11/2020,2,0
6/12/2020,0,2
6/13/2020,1,0
6/14/2020,1,0
